,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
192,PA,15.0,2772.0,Curionópolis,17929
193,PA,15.0,2806.0,Curralinho,34448
194,PA,15.0,2855.0,Curuá,14393
195,PA,15.0,2905.0,Curuçá,40066
196,PA,15.0,2939.0,Dom Eliseu,59719
197,PA,15.0,2954.0,Eldorado do Carajás,33808
198,PA,15.0,3002.0,Faro,7194
199,PA,15.0,3044.0,Floresta do Araguaia,20304
200,PA,15.0,3077.0,Garrafão do Norte,26066
201,PA,15.0,3093.0,Goianésia do Pará,40475
202,PA,15.0,3101.0,Gurupá,33376
203,PA,15.0,3200.0,Igarapé-Açu,38807
204,PA,15.0,3309.0,Igarapé-Miri,62698
205,PA,15.0,3408.0,Inhangapi,11711
206,PA,15.0,3457.0,Ipixuna do Pará,64053
207,PA,15.0,3507.0,Irituia,32550
208,PA,15.0,3606.0,Itaituba,101247
209,PA,15.0,3705.0,Itupiranga,53269
210,PA,15.0,3754.0,Jacareacanga,8239
211,PA,15.0,3804.0,Jacundá,59155
212,PA,15.0,3903.0,Juruti,57943
213,PA,15.0,4000.0,Limoeiro do Ajuru,28935
214,PA,15.0,4059.0,Mãe do Rio,30077
215,PA,15.0,4109.0,Magalhães Barata,8548
216,PA,15.0,4208.0,Marabá,279349
217,PA,15.0,4307.0,Maracanã,29473
218,PA,15.0,4406.0,Marapanim,28336
219,PA,15.0,4422.0,Marituba,131521
220,PA,15.0,4455.0,Medicilândia,31597
221,PA,15.0,4505.0,Melgaço,27654
222,PA,15.0,4604.0,Mocajuba,31136
223,PA,15.0,4703.0,Moju,82094
224,PA,15.0,4752.0,Mojuí dos Campos,16084
225,PA,15.0,4802.0,Monte Alegre,58032
226,PA,15.0,4901.0,Muaná,40349
227,PA,15.0,4950.0,Nova Esperança do Piriá,21368
228,PA,15.0,4976.0,Nova Ipixuna,16678
229,PA,15.0,5007.0,Nova Timboteua,15363
230,PA,15.0,5031.0,Novo Progresso,25762
231,PA,15.0,5064.0,Novo Repartimento,75919
232,PA,15.0,5106.0,Óbidos,52137
233,PA,15.0,5205.0,Oeiras do Pará,32512
234,PA,15.0,5304.0,Oriximiná,73096
235,PA,15.0,5403.0,Ourém,17842
236,PA,15.0,5437.0,Ourilândia do Norte,32832
237,PA,15.0,5486.0,Pacajá,47706
238,PA,15.0,5494.0,Palestina do Pará,7589
239,PA,15.0,5502.0,Paragominas,113145
240,PA,15.0,5536.0,Parauapebas,208273
241,PA,15.0,5551.0,Pau D'Arco,5483
242,PA,15.0,5601.0,Peixe-Boi,8077
243,PA,15.0,5635.0,Piçarra,12981
244,PA,15.0,5650.0,Placas,30982
245,PA,15.0,5700.0,Ponta de Pedras,31082
246,PA,15.0,5809.0,Portel,62043
247,PA,15.0,5908.0,Porto de Moz,41135
248,PA,15.0,6005.0,Prainha,29866
249,PA,15.0,6104.0,Primavera,10825
250,PA,15.0,6112.0,Quatipuru,13608
251,PA,15.0,6138.0,Redenção,84787
252,PA,15.0,6161.0,Rio Maria,18193
253,PA,15.0,6187.0,Rondon do Pará,52357
254,PA,15.0,6195.0,Rurópolis,50510
255,PA,15.0,6203.0,Salinópolis,40675
256,PA,15.0,6302.0,Salvaterra,23752
257,PA,15.0,6351.0,Santa Bárbara do Pará,21079
258,PA,15.0,6401.0,Santa Cruz do Arari,10128
259,PA,15.0,6500.0,Santa Izabel do Pará,70801
260,PA,15.0,6559.0,Santa Luzia do Pará,19848
261,PA,15.0,6583.0,Santa Maria das Barreiras,21449
262,PA,15.0,6609.0,Santa Maria do Pará,24861
263,PA,15.0,6708.0,Santana do Araguaia,72817
264,PA,15.0,6807.0,Santarém,304589
265,PA,15.0,6906.0,Santarém Novo,6709
266,PA,15.0,7003.0,Santo Antônio do Tauá,31482
267,PA,15.0,7102.0,São Caetano de Odivelas,18050
268,PA,15.0,7151.0,São Domingos do Araguaia,25557
269,PA,15.0,7201.0,São Domingos do Capim,31989
270,PA,15.0,7300.0,São Félix do Xingu,128481
271,PA,15.0,7409.0,São Francisco do Pará,15882
272,PA,15.0,7458.0,São Geraldo do Araguaia,24847
273,PA,15.0,7466.0,São João da Ponta,6139
274,PA,15.0,7474.0,São João de Pirabas,23045
275,PA,15.0,7508.0,São João do Araguaia,13996
276,PA,15.0,7607.0,São Miguel do Guamá,58986
277,PA,15.0,7706.0,São Sebastião da Boa Vista,26640
278,PA,15.0,7755.0,Sapucaia,5930
279,PA,15.0,7805.0,Senador José Porfírio,11658
280,PA,15.0,7904.0,Soure,25374
281,PA,15.0,7953.0,Tailândia,106339
282,PA,15.0,7961.0,Terra Alta,11720
283,PA,15.0,7979.0,Terra Santa,18769
284,PA,15.0,8001.0,Tomé-Açu,63447
285,PA,15.0,8035.0,Tracuateua,30959
286,PA,15.0,8050.0,Trairão,18989
287,PA,15.0,8084.0,Tucumã,39602
288,PA,15.0,8100.0,Tucuruí,113659
289,PA,15.0,8126.0,Ulianópolis,59210
290,PA,15.0,8159.0,Uruará,45476
291,PA,15.0,8209.0,Vigia,53686
292,PA,15.0,8308.0,Viseu,61403
293,PA,15.0,8357.0,Vitória do Xingu,15134
294,PA,15.0,8407.0,Xinguara,44751
295,AP,16.0,55.0,Serra do Navio,5397
296,AP,16.0,105.0,Amapá,9109
297,AP,16.0,154.0,Pedra Branca do Amapari,16502
298,AP,16.0,204.0,Calçoene,11117
299,AP,16.0,212.0,Cutias,5983
300,AP,16.0,238.0,Ferreira Gomes,7780
301,AP,16.0,253.0,Itaubal,5503
302,AP,16.0,279.0,Laranjal do Jari,50410
303,AP,16.0,303.0,Macapá,503327
304,AP,16.0,402.0,Mazagão,21632
305,AP,16.0,501.0,Oiapoque,27270
306,AP,16.0,535.0,Porto Grande,21971
307,AP,16.0,550.0,Pracuúba,5120
